Habilidad_base,Habilidad_proceso_intermedio,Variación_semántica_habilidad,N_cluster,Habilidad_representativa_cluster
preparar borrador especificaciones diseño,preparar borrador especificaciones diseño,Preparar borrador especificaciones diseño,4500,Elaborar borradores de especificaciones de diseño
profibus,demostrar conocimientos en profibus,Demostrar conocimientos en profibus,4501,Aplicar conocimientos en profibus
inspeccionar asfalto,inspeccionar asfalto,Inspeccionar asfalto,4502,Realizar inspecciones de asfalto
custodiar pruebas caso,custodiar pruebas caso,Custodiar pruebas caso,4503,Preservar evidencias en casos legales
fisiología oído,estudiar fisiología del oído,Estudiar fisiología del oído,4504,Investigar fisiología auditiva
ensayar papel,ensayar un papel,Ensayar un papel,4505,Interpretar personajes para actuaciones
elaborar programa rehabilitación,elaborar programa aplicar técnicas de rehabilitación para recuperación de movilidad,Elaborar programa aplicar técnicas de rehabilitación para recuperación de movilidad,4506,Aplicar técnicas de rehabilitación para la recuperación de movilidad
rehabilitación,aplicar técnicas de rehabilitación para recuperación de movilidad,Aplicar técnicas de rehabilitación para recuperación de movilidad,4506,Aplicar técnicas de rehabilitación para la recuperación de movilidad
rehabilitación sistemas orgánicos,aplicar técnicas de rehabilitación para recuperación de movilidad sistemas orgánicos,Aplicar técnicas de rehabilitación para recuperación de movilidad sistemas orgánicos,4506,Aplicar técnicas de rehabilitación para la recuperación de movilidad
aconsejar ejercicios rehabilitación,aconsejar ejercicios aplicar técnicas de rehabilitación para recuperación de movilidad,Aconsejar ejercicios aplicar técnicas de rehabilitación para recuperación de movilidad,4506,Aplicar técnicas de rehabilitación para la recuperación de movilidad
ayudar pacientes rehabilitación,ayudar pacientes aplicar técnicas de rehabilitación para recuperación de movilidad,Ayudar pacientes aplicar técnicas de rehabilitación para recuperación de movilidad,4506,Aplicar técnicas de rehabilitación para la recuperación de movilidad
contribuir proceso rehabilitación,contribuir proceso aplicar técnicas de rehabilitación para recuperación de movilidad,Contribuir proceso aplicar técnicas de rehabilitación para recuperación de movilidad,4506,Aplicar técnicas de rehabilitación para la recuperación de movilidad
supervisar proceso rehabilitación,supervisar proceso aplicar técnicas de rehabilitación para recuperación de movilidad,Supervisar proceso aplicar técnicas de rehabilitación para recuperación de movilidad,4506,Aplicar técnicas de rehabilitación para la recuperación de movilidad
evaluar necesidades rehabilitación animal,evaluar necesidades aplicar técnicas de rehabilitación para recuperación de movilidad animal,Evaluar necesidades aplicar técnicas de rehabilitación para recuperación de movilidad animal,4506,Aplicar técnicas de rehabilitación para la recuperación de movilidad
efectuar rehabilitación visual,efectuar aplicar técnicas de rehabilitación para recuperación de movilidad visual,Efectuar aplicar técnicas de rehabilitación para recuperación de movilidad visual,4506,Aplicar técnicas de rehabilitación para la recuperación de movilidad
rehabilitación basada comunidad,aplicar técnicas de rehabilitación para recuperación de movilidad basada comunidad,Aplicar técnicas de rehabilitación para recuperación de movilidad basada comunidad,4506,Aplicar técnicas de rehabilitación para la recuperación de movilidad
evaluar naturaleza lesiones situaciones emergencia,evaluar naturaleza lesiones situaciones emergencia,Evaluar naturaleza lesiones situaciones emergencia,4507,Evaluar lesiones y manejar situaciones de emergencia
supervisar bateadora,supervisar una bateadora,Supervisar una bateadora,4508,Supervisar operaciones de maquinaria de bateo
crear anuncios,crear anuncios,Crear anuncios,4509,Diseñar campañas publicitarias
edafología,analizar suelos a través de la edafología,Analizar suelos a través de la edafología,4510,Analizar características de suelos mediante edafología
realizar investigaciones software clínico,investigaciones software clínico,Realizar investigaciones software clínico,4511,Investigar en software clínico
mantener espesor vidrio,mantener espesor vidrio,Mantener espesor vidrio,4512,Controlar espesor de vidrio en producción
marketing viral,gestionar marketing viral,Gestionar marketing viral,4513,Implementar estrategias de marketing viral
investigar prácticas restrictivas competencia,investigar prácticas restrictivas competencia,Investigar prácticas restrictivas competencia,4514,Investigar prácticas anticompetitivas en el mercado laboral
gestionar ramas código abierto,gestionar ramas código abierto,Gestionar ramas código abierto,4515,Administrar proyectos de código abierto
diseñar sistema refrigeración solar absorción,diseñar refrigeración solar absorción,Diseñar sistema refrigeración solar absorción,4516,Diseñar sistemas de refrigeración solar por absorción
sistema refrigeración solar absorción,refrigeración solar absorción,Sistema refrigeración solar absorción,4516,Diseñar sistemas de refrigeración solar por absorción
principios tecnología libro mayor descentralizado,principios tecnología libro mayor descentralizado,Principios tecnología libro mayor descentralizado,4517,Implementar principios de tecnología de libro mayor descentralizado
realizar análisis actividad paciente,análisis actividad paciente,Realizar análisis actividad paciente,4518,Analizar actividad del paciente
coordinar gestión lodos aguas residuales,coordinar gestión lodos aguas residuales,Coordinar gestión lodos aguas residuales,4519,Gestionar tratamiento y eliminación de aguas residuales
dirigir equipo gestión agua,dirigir equipo gestión agua,Dirigir equipo gestión agua,4519,Gestionar tratamiento y eliminación de aguas residuales
eliminar lodos aguas residuales,eliminar lodos aguas residuales,Eliminar lodos aguas residuales,4519,Gestionar tratamiento y eliminación de aguas residuales
garantizar continua disponibilidad auditorías,garantizar continua disponibilidad auditorías,Garantizar continua disponibilidad auditorías,4520,Supervisar la disponibilidad constante de auditorías
estudiar problemas conservación,estudiar problemas conservación,Estudiar problemas conservación,4521,Investigar métodos de conservación
ordeñar animales,ordeñar animales,Ordeñar animales,4522,Manejar técnicas de ordeño animal
someter auditorías contratistas,someter auditorías contratistas,Someter auditorías contratistas,4523,Realizar auditorías a contratistas
gestionar rocas estériles,gestionar rocas estériles,Gestionar rocas estériles,4524,Gestionar desechos mineros
proporcionar información bibliotecas,proporcionar información bibliotecas,Proporcionar información bibliotecas,4525,Gestionar servicios de información en bibliotecas
tipos máquinas vapor,tipos máquinas vapor,Tipos máquinas vapor,4526,Operar máquinas de vapor
hacer pedido suministros ópticos,hacer pedido suministros ópticos,Hacer pedido suministros ópticos,4527,Gestionar suministros ópticos
examinar suministros ópticos,examinar suministros ópticos,Examinar suministros ópticos,4527,Gestionar suministros ópticos
hidroterapia,aplicar hidroterapia,Aplicar hidroterapia,4528,Aplicar técnicas de terapias acuáticas
balneoterapia,aplicar técnicas de balneoterapia,Aplicar técnicas de balneoterapia,4528,Aplicar técnicas de terapias acuáticas
evaluar planos construcción instalaciones tratamiento residuos,evaluar planos construcción instalaciones tratamiento residuos,Evaluar planos construcción instalaciones tratamiento residuos,4529,Inspeccionar planos de instalaciones para tratamiento de residuos
aplicar principios sostenibilidad asistencia sanitaria,aplicar principios sostenibilidad asistencia sanitaria,Aplicar principios sostenibilidad asistencia sanitaria,4530,Implementar prácticas de sostenibilidad en la asistencia sanitaria
posar creación artística,posar creación artística,Posar creación artística,4531,Crear obras de arte
garantizar integridad correo,garantizar integridad correo,Garantizar integridad correo,4532,Gestionar seguridad de correo electrónico
asesorar cuestiones relacionadas problemas fabricación,asesorar cuestiones relacionadas problemas fabricación,Asesorar cuestiones relacionadas problemas fabricación,4533,Asesorar en resolución de problemas de fabricación
presentar emisiones radiodifusión directo,presentar emisiones radiodifusión directo,Presentar emisiones radiodifusión directo,4534,Realizar transmisiones en vivo para radiodifusión
llevar cabo estudio viabilidad red inteligente,llevar cabo estudio viabilidad red inteligente,Llevar cabo estudio viabilidad red inteligente,4535,Realizar estudios de viabilidad en sistemas de calefacción y refrigeración
llevar cabo estudio viabilidad calefacción eléctrica,llevar cabo estudio viabilidad calefacción eléctrica,Llevar cabo estudio viabilidad calefacción eléctrica,4535,Realizar estudios de viabilidad en sistemas de calefacción y refrigeración
llevar cabo estudio viabilidad calefacción paneles solares,llevar cabo estudio viabilidad calefacción paneles solares,Llevar cabo estudio viabilidad calefacción paneles solares,4535,Realizar estudios de viabilidad en sistemas de calefacción y refrigeración
llevar cabo estudio viabilidad calefacción refrigeración urbanas,llevar cabo estudio viabilidad calefacción refrigeración urbanas,Llevar cabo estudio viabilidad calefacción refrigeración urbanas,4535,Realizar estudios de viabilidad en sistemas de calefacción y refrigeración
desarrollar teorías científicas,desarrollar teorías científicas,Desarrollar teorías científicas,4536,Formular hipótesis científicas
aplicar medidas seguridad digital,aplicar medidas seguridad digital,Aplicar medidas seguridad digital,4537,Implementar protocolos de seguridad digital
asistir proyectos decoración plantas interior,asistir proyectos decoración plantas interior,Asistir proyectos decoración plantas interior,4538,Diseñar interiores con plantas
salud seguridad industria textil,salud seguridad industria textil,Salud seguridad industria textil,4539,Implementar medidas de seguridad y salud en la industria textil y en el lugar de trabajo
salud seguridad lugar trabajo,salud seguridad lugar trabajo,Salud seguridad lugar trabajo,4539,Implementar medidas de seguridad y salud en la industria textil y en el lugar de trabajo
seleccionar tecnologías sostenibles diseño,seleccionar tecnologías sostenibles diseño,Seleccionar tecnologías sostenibles diseño,4540,Diseñar soluciones con tecnologías sostenibles
ajustar elementos animación,ajustar elementos animación,Ajustar elementos animación,4541,Crear y ajustar animaciones digitales
interpretar interfaces comunicación gráfica,interpretar interfaces demostrar habilidades de comunicación gráfica,Interpretar interfaces demostrar habilidades de comunicación gráfica,4542,Diseñar comunicaciones gráficas e interfaces
mantener equipo atenuación,mantener equipo atenuación,Mantener equipo atenuación,4543,Gestionar y operar equipos de atenuación
operar equipos atenuación,operar equipos atenuación,Operar equipos atenuación,4543,Gestionar y operar equipos de atenuación
instalar canalones,instalar canalones,Instalar canalones,4544,Realizar instalación de canalones
gestión salón,gestionar operaciones de salón,Gestionar operaciones de salón,4545,Coordinar actividades de salón
anatomía peces,reconocer anatomai de peces,Reconocer anatomai de peces,4546,Identificar anatomía de peces
cifrado tic,implementar cifrado en tic,Implementar cifrado en tic,4547,Implementar protocolos de cifrado en tecnologías de la información y comunicación
trabajar equipo líneas ensamble,trabajar equipo líneas ensamble,Trabajar equipo líneas ensamble,4548,Coordinar equipo de línea de ensamble
aranceles internacionales,aplicar conocimientos en aranceles internacionales,Aplicar conocimientos en aranceles internacionales,4549,Implementar conocimientos de aranceles internacionales
tratamiento estrabismo,aplicar tratamientos para el estrabismo,Aplicar tratamientos para el estrabismo,4550,Administrar terapias para el estrabismo
mantener relaciones representantes locales,mantener relaciones representantes locales,Mantener relaciones representantes locales,4551,Establecer relaciones con representantes locales
seguir programa manipulación animales cliente,seguir programa manipulación animales cliente,Seguir programa manipulación animales cliente,4552,Manejar animales para servicio al cliente
utilizar carne separada mecánicamente,utilizar carne separada mecánicamente,Utilizar carne separada mecánicamente,4553,Manejar procesos de separación mecánica de carne
inducir desove especies acuáticas criadero,inducir desove especies acuáticas criadero,Inducir desove especies acuáticas criadero,4554,Gestionar desove en criaderos de especies acuáticas
preparar habitaciones,preparar habitaciones,Preparar habitaciones,4555,Organizar y acondicionar espacios de alojamiento
reconocer anomalías citológicas,reconocer anomalías citológicas,Reconocer anomalías citológicas,4556,Realizar análisis en citopatología
citopatología,aplicar técnicas en citopatología,Aplicar técnicas en citopatología,4556,Realizar análisis en citopatología
medir desempeño empresa términos sostenibilidad,medir desempeño empresa términos sostenibilidad,Medir desempeño empresa términos sostenibilidad,4557,Evaluar el rendimiento de la empresa en términos de sostenibilidad
sparql,extraer información de base de datos con sparql,Extraer información de base de datos con sparql,4558,Manejar consultas en bases de datos con sparql
calcular probabilidades,calcular probabilidades,Calcular probabilidades,4559,Realizar cálculos y aplicaciones de probabilidad
teoría probabilidad,aplicar teoría de probabilidad,Aplicar teoría de probabilidad,4559,Realizar cálculos y aplicaciones de probabilidad
piedra desbastada,trabajar con piedra desbastada,Trabajar con piedra desbastada,4560,Manipular piedra desbastada
realizar actividades animación aire libre,actividades animación aire libre,Realizar actividades animación aire libre,4561,Coordinar actividades recreativas al aire libre
instruir actividades aire libre,instruir actividades aire libre,Instruir actividades aire libre,4561,Coordinar actividades recreativas al aire libre
actividades recreativas,realizar actividades recreativas,Realizar actividades recreativas,4561,Coordinar actividades recreativas al aire libre
garantizar ventilación adecuada uso máquinas,garantizar ventilación adecuada uso máquinas,Garantizar ventilación adecuada uso máquinas,4562,Mantener la ventilación de las máquinas
ocuparse ventiladores máquinas,ocuparse ventiladores máquinas,Ocuparse ventiladores máquinas,4562,Mantener la ventilación de las máquinas
instalar elevadores cadena,instalar elevadores cadena,Instalar elevadores cadena,4563,Instalar sistemas de elevación por cadena
técnicas compactación,aplicar técnicas de compactación,Aplicar técnicas de compactación,4564,Implementar técnicas de compactación
ayudar desarrollar prácticas promuevan bienestar trabajadores,ayudar desarrollar prácticas promuevan bienestar trabajadores,Ayudar desarrollar prácticas promuevan bienestar trabajadores,4565,Implementar estrategias de bienestar laboral
preparación paternidad,preparar para la paternidad,Preparar para la paternidad,4566,Brindar orientación para la paternidad
procesos filtración bebidas,procesos filtración bebidas,Procesos filtración bebidas,12,Realizar procesos de filtración en bebidas
proceso filtración,realizar procesos de filtración,Realizar procesos de filtración,12,Realizar procesos de filtración en bebidas
enseñar principios hablar público,principios público,Enseñar principios hablar público,4568,Instruir en técnicas de oratoria
emplear técnicas conducción avanzadas,emplear técnicas conducción avanzadas,Emplear técnicas conducción avanzadas,4569,Manejar técnicas avanzadas de conducción
litmos,demostrar conocimientos en litmos,Demostrar conocimientos en litmos,4570,Implementar conocimientos en litmos
prestar atención detalles procedimientos colada,prestar atención detalles procedimientos colada,Prestar atención detalles procedimientos colada,4571,Supervisar procedimientos de colada detalladamente
prevenir problemas sociales,prevenir problemas sociales,Prevenir problemas sociales,4572,Implementar estrategias de prevención social
fijar parqué,fijar parqué,Fijar parqué,4573,Instalar suelos de parqué
gestionar garantía equipos digitales,gestionar garantía equipos digitales,Gestionar garantía equipos digitales,4574,Administrar garantías de equipos digitales
álgebra,utilizar operaciones de álgebra,Utilizar operaciones de álgebra,4575,Realizar cálculos algebraicos
informar cuestiones ambientales,informar cuestiones ambientales,Informar cuestiones ambientales,4576,Evaluar impactos ambientales
pensar rapidez,pensar con rapidez,Pensar con rapidez,4577,Implementar soluciones rápidas
valorar documentos históricos,valorar documentos históricos,Valorar documentos históricos,4578,Analizar y valorar documentos históricos
alinear esfuerzos encaminados desarrollo empresa,alinear esfuerzos encaminados desarrollo empresa,Alinear esfuerzos encaminados desarrollo empresa,4579,Coordinar desarrollo y crecimiento empresarial
ajustar estructuras plegadas,ajustar estructuras plegadas,Ajustar estructuras plegadas,4580,Manejar ajustes de estructuras plegables
ocuparse encorchadora,ocuparse encorchadora,Ocuparse encorchadora,4581,Operar maquinaria para la producción de vino
ocuparse máquinas elaborar vino,ocuparse máquinas elaborar vino,Ocuparse máquinas elaborar vino,4581,Operar maquinaria para la producción de vino
respetar disposiciones legales aplicables actividades buceo,respetar disposiciones legales aplicables actividades buceo,Respetar disposiciones legales aplicables actividades buceo,4582,Cumplir regulaciones legales en actividades de buceo
controlar calidad diseño actividad,controlar calidad diseño actividad,Controlar calidad diseño actividad,4583,Realizar controles de calidad en diseño y ensamblado
realizar controles calidad previos ensamblado,controles calidad previos ensamblado,Realizar controles calidad previos ensamblado,4583,Realizar controles de calidad en diseño y ensamblado
producir diseños textiles,producir diseños textiles,Producir diseños textiles,4584,Producir y probar diseños y muestras textiles
producir muestras,producir muestras,Producir muestras,4584,Producir y probar diseños y muestras textiles
producir muestras textiles,producir muestras textiles,Producir muestras textiles,4584,Producir y probar diseños y muestras textiles
realizar operaciones pruebas textiles,operaciones pruebas textiles,Realizar operaciones pruebas textiles,4584,Producir y probar diseños y muestras textiles
planificar técnicas formación velos textiles tejidos,planificar tareas técnicas formación velos textiles tejidos,Planificar tareas técnicas formación velos textiles tejidos,4585,Diseñar y planificar procesos de formación en tejidos textiles
scikit learn,aplicar scikit learn,Aplicar scikit learn,4586,Implementar modelos de machine learning con scikit-learn
comprobar rectitud superficies,comprobar rectitud superficies,Comprobar rectitud superficies,4587,Inspeccionar la planitud de las superficies
registrar documentación relacionada piensos preparados,registrar documentación relacionada piensos preparados,Registrar documentación relacionada piensos preparados,4588,Gestionar documentación de piensos preparados
manipular panales,manipular panales,Manipular panales,4589,Manejar panales de abejas
análisis web,realizar análisis web,Realizar análisis web,4590,Analizar métricas de sitios web
definir marca,definir marca,Definir marca,4591,Desarrollar estrategias de branding
posicionar marca mercado,posicionar marca mercado,Posicionar marca mercado,4591,Desarrollar estrategias de branding
definir objetivos materia salud,definir objetivos materia salud,Definir objetivos materia salud,4592,Establecer metas en el sector de la salud
gestionar archivos construcción,gestionar archivos construcción,Gestionar archivos construcción,4593,Administrar documentación de proyectos de construcción
gestionar redes tic temporales espectáculos vivo,gestionar redes tic temporales espectáculos vivo,Gestionar redes tic temporales espectáculos vivo,4594,Coordinar la gestión de redes y tecnologías de la información en eventos en vivo
elaborar cartas vinos,elaborar cartas vinos,Elaborar cartas vinos,4595,Crear listados de vinos
aplicar planificación rutas servicios movilidad inteligente,aplicar planificación rutas servicios movilidad inteligente,Aplicar planificación rutas servicios movilidad inteligente,4596,Diseñar rutas para servicios de movilidad inteligente
asear animales,asear animales,Asear animales,4597,Proporcionar cuidado y transporte a los animales
asistir transporte animales,asistir transporte animales,Asistir transporte animales,4597,Proporcionar cuidado y transporte a los animales
métodos psicosociales intervención,métodos psicosociales intervención,Métodos psicosociales intervención,4598,Aplicar métodos de intervención psicosocial
redactar descripciones puestos trabajo,redactar descripciones puestos trabajo,Redactar descripciones puestos trabajo,4599,Redactar descripciones de puestos de trabajo
cortar bordes páginas,cortar bordes páginas,Cortar bordes páginas,4600,Realizar corte de bordes de páginas
mantener cuerdas,mantener cuerdas,Mantener cuerdas,4601,Manejar y mantener cuerdas en condiciones óptimas
manejar máquinas clavar embalaje,manejar máquinas clavar embalaje,Manejar máquinas clavar embalaje,4602,Operar maquinaria de embalaje y cierre metálico
manejar máquinas colocar cierres metálicos,manejar máquinas colocar cierres metálicos,Manejar máquinas colocar cierres metálicos,4602,Operar maquinaria de embalaje y cierre metálico
gastronomía molecular,practicar gastronomía molecular,Practicar gastronomía molecular,4603,Experimentar en cocina molecular
trabajar solistas,trabajar con solistas,Trabajar con solistas,4604,Coordinar actividades con solistas
fabricar modelos bucales,fabricar modelos bucales,Fabricar modelos bucales,4605,Crear modelos dentales
preparar solicitudes permiso construcción,preparar solicitudes permiso construcción,Preparar solicitudes permiso construcción,4606,Gestionar permisos de construcción
realizar controles alcoholemia consumo estupefacientes,controles alcoholemia consumo estupefacientes,Realizar controles alcoholemia consumo estupefacientes,4607,Realizar pruebas de detección de alcohol y drogas
características vidrios ópticos,características vidrios ópticos,Características vidrios ópticos,4608,Diseñar características ópticas en vidrios
ayudar alumnado equipo,ayudar alumnado equipo,Ayudar alumnado equipo,4609,Facilitar asistencia educativa a estudiantes
facilitar trabajo equipo estudiantes,facilitar trabajo equipo estudiantes,Facilitar trabajo equipo estudiantes,4609,Facilitar asistencia educativa a estudiantes
ayudar alumnado servicio biblioteca,ayudar alumnado servicio biblioteca,Ayudar alumnado servicio biblioteca,4609,Facilitar asistencia educativa a estudiantes
normas geometría vía,entender las normas internacionales relativas a las transacciones comerciales resolver problemas matemáticos aplicando principios de geometría vía,Entender las normas internacionales relativas a las transacciones comerciales resolver problemas matemáticos aplicando principios de geometría vía,4610,Aplicar geometría en transacciones comerciales internacionales
velar bienestar detenidos,velar bienestar detenidos,Velar bienestar detenidos,4611,Supervisar el cuidado y bienestar de los detenidos
alimentar prensas cilindros,alimentar prensas cilindros,Alimentar prensas cilindros,4612,Operar prensas de cilindros
tipos chocolate,clasificar tipos de chocolate,Clasificar tipos de chocolate,4613,Evaluar y categorizar variedades de chocolate
realizar mediciones relacionadas trabajo,mediciones relacionadas trabajo,Realizar mediciones relacionadas trabajo,4614,Realizar mediciones precisas en el ámbito laboral
llevar cabo actividades deshielo,llevar cabo actividades deshielo,Llevar cabo actividades deshielo,4615,Coordinar procesos de deshielo
medir grado destilación,medir grado destilación,Medir grado destilación,4616,Evaluar procesos de destilación
preparar conocimientos embarque,preparar conocimientos embarque,Preparar conocimientos embarque,4617,Gestionar documentación de embarque
teoría musical,estudiar teoría musical,Estudiar teoría musical,4618,Comprender fundamentos de música
aplicar principios gobernanza clínica veterinaria,aplicar principios gobernanza clínica veterinaria,Aplicar principios gobernanza clínica veterinaria,4619,Implementar principios de gobernanza clínica en veterinaria
garantizar aditivos alimentos piensos efectos nocivos,garantizar aditivos alimentos piensos efectos nocivos,Garantizar aditivos alimentos piensos efectos nocivos,4620,Evaluar la seguridad de aditivos en alimentos y piensos
realizar tareas recuperación ambiental,tareas recuperación ambiental,Realizar tareas recuperación ambiental,4621,Realizar tareas de recuperación y limpieza ambiental
realizar actividades limpieza forma respetuosa medioambiente,actividades limpieza forma respetuosa medioambiente,Realizar actividades limpieza forma respetuosa medioambiente,4621,Realizar tareas de recuperación y limpieza ambiental
manipular tecnologías geoespaciales,manipular tecnologías geoespaciales,Manipular tecnologías geoespaciales,4622,Manejar tecnologías geoespaciales
manejar información personal sensible,manejar información personal sensible,Manejar información personal sensible,4623,Proteger información personal confidencial
mezclar tintas,mezclar tintas,Mezclar tintas,4624,Preparar y mezclar tintas y colores
preparar mezclas colores,preparar mezclas colores,Preparar mezclas colores,4624,Preparar y mezclar tintas y colores
formar personal recepción,formar personal recepción,Formar personal recepción,4625,Coordinar actividades de recepción y formación de personal
organizar recepción,organizar recepción,Organizar recepción,4625,Coordinar actividades de recepción y formación de personal
calcular costes endeudamiento,calcular costes endeudamiento,Calcular costes endeudamiento,4626,Evaluar costos de endeudamiento
inspeccionar instituciones educativas,inspeccionar instituciones educativas,Inspeccionar instituciones educativas,4627,Evaluar infraestructuras educativas
ser diplomático,ser diplomático,Ser diplomático,4628,Negociar acuerdos y soluciones diplomáticamente
garantizar seguridad hotel,garantizar seguridad hotel,Garantizar seguridad hotel,4629,Implementar protocolos de seguridad en hoteles
hacer revisión tratamiento,hacer revisión tratamiento,Hacer revisión tratamiento,4630,Realizar revisión de tratamientos
realizar marketing correo electrónico,marketing correo electrónico,Realizar marketing correo electrónico,4631,Implementar estrategias de marketing por correo electrónico
llevar cabo reparación techo automóviles descapotables,llevar cabo reparación techo automóviles descapotables,Llevar cabo reparación techo automóviles descapotables,4632,Realizar reparaciones de techos en automóviles descapotables
garantizar operaciones comerciales lícitas,garantizar operaciones comerciales lícitas,Garantizar operaciones comerciales lícitas,4633,Supervisar cumplimiento legal en operaciones comerciales
preparar carne venta,preparar carne venta,Preparar carne venta,4634,Procesar y preparar carne para venta
síntomas enfermedades veterinarias,síntomas enfermedades veterinarias,Síntomas enfermedades veterinarias,4635,Diagnosticar síntomas en animales
recaudar impuestos,recaudar impuestos,Recaudar impuestos,4636,Administrar recaudación de impuestos
gestionar planes recuperación catástrofes,gestionar planes recuperación catástrofes,Gestionar planes recuperación catástrofes,4637,Coordinar estrategias de recuperación ante desastres
metodologías encuesta,reconocer metodologías de encuesta,Reconocer metodologías de encuesta,4638,Aplicar técnicas de encuesta
vigilar recreo,vigilar recreo,Vigilar recreo,4639,Supervisar actividades recreativas
proceso centrífugo pulido húmedo,proceso centrífugo pulido húmedo,Proceso centrífugo pulido húmedo,4640,Realizar proceso centrífugo de pulido húmedo
consultar profesionales sector,consultar profesionales sector,Consultar profesionales sector,4641,Asesorar profesionales en el sector laboral
documentarse vestuario,documentarse vestuario,Documentarse vestuario,4642,Investigar tendencias de vestuario
negociar agencias empleo,negociar agencias empleo,Negociar agencias empleo,4643,Gestionar negociaciones con agencias de empleo
gestionar espacios clínicos,gestionar espacios clínicos,Gestionar espacios clínicos,4644,Coordinar operaciones en espacios clínicos
ajustar tensión alimentación,ajustar tensión alimentación,Ajustar tensión alimentación,4645,Regular tensión de energía eléctrica
fabricar ingredientes,fabricar ingredientes,Fabricar ingredientes,4646,Producir ingredientes alimentarios
identificar retrasos trenes,identificar retrasos trenes,Identificar retrasos trenes,4647,Monitorear y prever retrasos en trenes
gestionar calidad iluminación representación,gestionar calidad iluminación representación,Gestionar calidad iluminación representación,4648,Controlar la calidad de la iluminación en representaciones
técnicas financiación riesgo,técnicas financiación riesgo,Técnicas financiación riesgo,4649,Evaluar técnicas de financiación y gestión de riesgo
promover igualdad género contextos empresariales,promover igualdad género contextos empresariales,Promover igualdad género contextos empresariales,4650,Promover equidad de género y salarial en el ámbito empresarial
promover igualdad salarial,promover igualdad salarial,Promover igualdad salarial,4650,Promover equidad de género y salarial en el ámbito empresarial
abordar cuestiones salud pública,abordar cuestiones salud pública,Abordar cuestiones salud pública,4651,Implementar políticas de salud pública
moodle,demostrar conocimientos sobre moodle,Demostrar conocimientos sobre moodle,4652,Manejar habilidades en moodle
revisar planes servicios sociales,revisar planes servicios sociales,Revisar planes servicios sociales,4653,Evaluar programas de servicios sociales
gestionar desarrollo productos caucho,gestionar desarrollo productos caucho,Gestionar desarrollo productos caucho,4654,Supervisar producción y calidad de productos de caucho
prestar servicios sociales diferentes comunidades culturales,prestar servicios sociales diferentes comunidades culturales,Prestar servicios sociales diferentes comunidades culturales,4655,Proporcionar servicios sociales a diversas comunidades culturales
utilizar equipos tic actividades mantenimiento,utilizar equipos tic actividades mantenimiento,Utilizar equipos tic actividades mantenimiento,4656,Utilizar tecnologías de la información y comunicación para el mantenimiento y la realización de tareas laborales
utilizar recursos tic llevar cabo tareas relacionadas actividad laboral,utilizar recursos tic llevar cabo tareas relacionadas actividad laboral,Utilizar recursos tic llevar cabo tareas relacionadas actividad laboral,4656,Utilizar tecnologías de la información y comunicación para el mantenimiento y la realización de tareas laborales
manipular cosedoras papel,manipular cosedoras papel,Manipular cosedoras papel,4657,Operar maquinaria de procesamiento de papel
operar cortadoras papel,operar cortadoras papel,Operar cortadoras papel,4657,Operar maquinaria de procesamiento de papel
integrar actividades promoción comunitaria,integrar actividades promoción comunitaria,Integrar actividades promoción comunitaria,4658,Coordinar acciones de promoción comunitaria
vender actividades juego casino,vender actividades juego casino,Vender actividades juego casino,4659,Promocionar actividades en casinos
crear materiales formación,crear materiales formación,Crear materiales formación,4660,Diseñar materiales de formación educativa
gestionar retirada aeronaves inhabilitadas,gestionar retirada aeronaves inhabilitadas,Gestionar retirada aeronaves inhabilitadas,4661,Coordinar la remoción de aeronaves inoperables
controlar rendimiento sistema,controlar rendimiento,Controlar rendimiento sistema,4662,Supervisar rendimiento de sistemas y vehículos
controlar rendimiento vehículo,controlar rendimiento vehículo,Controlar rendimiento vehículo,4662,Supervisar rendimiento de sistemas y vehículos
tendencias muebles,identificar tendencias en muebles,Identificar tendencias en muebles,4663,Analizar tendencias en diseño de muebles
supervisar operaciones diarias biblioteca,supervisar operaciones diarias biblioteca,Supervisar operaciones diarias biblioteca,4664,Supervisar operaciones diarias en bibliotecas e información
supervisar operaciones informativas diarias,supervisar operaciones informativas diarias,Supervisar operaciones informativas diarias,4664,Supervisar operaciones diarias en bibliotecas e información
realizar experimentos químicos,experimentos químicos,Realizar experimentos químicos,4665,Realizar experimentación química
organizar reactivos químicos,organizar reactivos químicos,Organizar reactivos químicos,4665,Realizar experimentación química
gestionar equipos plantas mineras,gestionar equipos plantas mineras,Gestionar equipos plantas mineras,4666,Gestionar operaciones mineras subterráneas
mantener planos yacimientos mineros,mantener planos yacimientos mineros,Mantener planos yacimientos mineros,4666,Gestionar operaciones mineras subterráneas
gestionar datos yacimientos mineros,gestionar datos yacimientos mineros,Gestionar datos yacimientos mineros,4666,Gestionar operaciones mineras subterráneas
gestionar depósitos subterráneos,gestionar depósitos subterráneos,Gestionar depósitos subterráneos,4666,Gestionar operaciones mineras subterráneas
tipos piedras trabajos construcción,tipos piedras trabajos construcción,Tipos piedras trabajos construcción,4667,Manipular y clasificar tipos de piedras para trabajos de construcción
verificar profundidad perforaciones,verificar profundidad perforaciones,Verificar profundidad perforaciones,4668,Inspeccionar profundidad de perforaciones
proporcionar alimentos animales,proporcionar alimentos animales,Proporcionar alimentos animales,4669,Administrar alimentación en animales
diseñar modelos escala,diseñar modelos escala,Diseñar modelos escala,4670,Crear modelos a escala
